,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
9,10,Tyran Watkins,19.0,,,0.4,0.6,0.583,0.4,0.6,0.583,0.0,0.0,,0.4,0.7,0.615,,,1.1,0.2,0.0,0.5,,,1.2,coppin state,1997
10,11,David Houston,8.0,,,0.4,0.6,0.6,0.1,0.3,0.5,0.3,0.4,0.667,0.0,0.0,,,,0.1,0.0,0.0,0.0,,,1.0,coppin state,1997
11,12,Rafi Reavis,21.0,,,0.4,1.2,0.32,0.4,1.0,0.4,0.0,0.2,0.0,0.2,0.6,0.385,,,2.1,0.3,0.4,0.4,,,1.0,coppin state,1997
12,13,Dorian Pena,16.0,,,0.2,0.6,0.3,0.2,0.6,0.3,0.0,0.0,,0.6,0.9,0.6,,,1.8,0.2,0.1,0.1,,,0.9,coppin state,1997
13,14,Joe Allen,7.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.3,0.6,0.5,,,0.4,0.0,0.1,0.4,,,0.3,coppin state,1997
0,1,Trajan Langdon,33.0,33.0,29.5,4.2,9.3,0.445,1.5,3.4,0.451,2.6,5.9,0.441,3.4,3.8,0.897,,,2.9,2.1,1.0,0.3,1.5,1.7,14.3,duke,1997
1,2,Jeff Capel,33.0,18.0,26.7,4.3,9.4,0.46,2.7,5.8,0.474,1.6,3.6,0.437,2.2,3.5,0.621,,,2.8,2.6,1.0,0.2,2.2,2.1,12.4,duke,1997
2,3,Roshown McLeod,33.0,30.0,24.2,4.3,8.8,0.49,3.5,6.6,0.528,0.8,2.2,0.375,2.5,3.1,0.794,,,5.3,0.9,0.9,1.0,1.7,3.2,11.9,duke,1997
3,4,Greg Newton,30.0,22.0,22.9,3.7,6.6,0.563,3.7,6.6,0.563,0.0,0.0,,3.0,4.4,0.674,,,6.1,0.6,0.9,1.1,1.2,2.2,10.4,duke,1997
4,5,Ricky Price,33.0,11.0,21.4,3.2,8.2,0.394,2.2,4.9,0.46,1.0,3.3,0.296,2.0,3.0,0.663,,,2.7,0.8,0.7,0.2,1.4,1.8,9.4,duke,1997
5,6,Steve Wojciechowski,33.0,33.0,31.3,2.0,4.5,0.443,0.8,1.4,0.556,1.2,3.2,0.394,1.7,2.2,0.767,,,3.0,5.3,2.5,0.0,1.8,2.5,6.9,duke,1997
6,7,Chris Carrawell,31.0,12.0,16.2,2.3,4.0,0.576,2.3,4.0,0.585,0.0,0.1,0.0,0.9,1.5,0.574,,,3.1,1.1,0.7,0.7,0.9,1.3,5.5,duke,1997
7,8,Mike Chappell,32.0,2.0,12.0,1.6,4.6,0.356,0.9,2.3,0.384,0.8,2.3,0.329,0.6,1.2,0.462,,,1.7,0.5,0.3,0.1,0.8,1.1,4.6,duke,1997
8,9,Carmen Wallace,30.0,3.0,12.1,1.1,2.6,0.429,0.7,1.7,0.423,0.4,0.8,0.44,0.6,0.9,0.731,,,1.8,0.1,0.5,0.3,0.7,2.0,3.2,duke,1997
9,10,Nate James,17.0,1.0,8.5,0.9,2.1,0.417,0.6,1.2,0.5,0.3,0.9,0.313,0.6,1.2,0.55,,,2.0,0.5,0.5,0.2,0.8,0.9,2.7,duke,1997
10,11,Taymon Domzalski,13.0,0.0,8.6,0.9,1.5,0.632,0.9,1.5,0.632,0.0,0.0,,0.3,0.6,0.5,,,1.5,0.1,0.1,0.5,0.5,2.0,2.2,duke,1997
11,12,Todd Singleton,8.0,0.0,3.5,0.6,1.3,0.5,0.6,1.3,0.5,0.0,0.0,,0.3,0.8,0.333,,,0.3,0.3,0.0,0.3,,1.0,1.5,duke,1997
12,13,Justin Caldbeck,8.0,0.0,2.6,0.3,0.4,0.667,0.3,0.4,0.667,0.0,0.0,,0.3,0.3,1.0,,,0.4,0.0,0.0,0.0,0.1,0.1,0.8,duke,1997
13,14,Jay Heaps,8.0,0.0,2.6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3,0.8,0.333,,,0.0,0.4,0.1,0.0,0.4,0.4,0.3,duke,1997
0,1,Greg Francis,30.0,,33.5,4.6,11.7,0.393,2.5,5.6,0.449,2.1,6.1,0.342,3.5,4.8,0.722,,,4.1,2.5,1.3,0.2,,,14.8,fairfield,1997
1,2,Shane Miller,6.0,,33.7,4.3,8.5,0.51,2.5,4.3,0.577,1.8,4.2,0.44,2.7,3.5,0.762,,,2.7,1.2,0.8,0.3,,,13.2,fairfield,1997
2,3,Shannon Bowman,24.0,,26.7,3.5,6.9,0.5,3.5,6.8,0.512,0.0,0.2,0.0,2.9,3.9,0.742,,,4.0,2.1,1.1,0.5,,,9.8,fairfield,1997
3,4,John Tice,30.0,,15.5,3.0,7.6,0.397,2.1,4.6,0.46,0.9,3.0,0.3,2.0,3.2,0.632,,,2.2,1.8,0.7,0.8,,,9.0,fairfield,1997
4,5,Didier Boucard,29.0,,25.4,2.7,5.7,0.476,2.7,5.5,0.494,0.0,0.2,0.0,2.0,3.3,0.594,,,6.2,1.7,2.2,1.3,,,7.4,fairfield,1997
5,6,Darren Phillip,16.0,,18.1,2.3,5.3,0.435,2.3,5.3,0.435,0.0,0.0,,1.2,2.8,0.422,,,4.4,0.6,0.3,0.1,,,5.8,fairfield,1997
6,7,Kyle Commodore,29.0,,23.4,1.9,5.4,0.357,0.7,1.5,0.442,1.3,3.9,0.325,0.6,1.3,0.447,,,1.7,2.7,1.3,0.0,,,5.7,fairfield,1997
7,8,Sunday Eniojukan,30.0,,7.9,2.1,4.1,0.5,2.1,4.1,0.5,0.0,0.0,,1.3,2.7,0.481,,,4.3,0.3,0.4,0.3,,,5.4,fairfield,1997
8,9,Andy Buzbee,29.0,,15.8,1.5,3.4,0.449,1.5,3.3,0.458,0.0,0.1,0.0,0.7,1.1,0.656,,,3.1,0.4,0.7,0.1,,,3.8,fairfield,1997
9,10,Brent Wall,28.0,,,1.0,2.9,0.363,0.1,0.4,0.333,0.9,2.4,0.368,0.6,1.1,0.581,,,1.1,1.3,0.5,0.0,,,3.6,fairfield,1997
10,11,Peter Van Rij,24.0,,,1.1,2.4,0.466,1.1,2.4,0.466,0.0,0.0,,0.5,1.3,0.4,,,1.7,0.4,0.2,0.3,,,2.8,fairfield,1997
11,12,Brandon Jubrey,4.0,,,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,,1.0,2.0,0.5,,,1.5,0.5,0.5,0.0,,,2.0,fairfield,1997
12,13,Mike Horan,24.0,,9.4,0.6,1.5,0.378,0.6,1.5,0.389,0.0,0.0,0.0,0.2,0.4,0.556,,,1.8,0.1,0.1,0.1,,,1.4,fairfield,1997
13,14,Pete Williams,10.0,,,0.2,0.3,0.667,0.0,0.0,,0.2,0.3,0.667,0.3,0.4,0.75,,,0.2,0.0,0.0,0.0,,,0.9,fairfield,1997
14,15,Sean Groer,3.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.7,1.0,0.667,,,1.3,0.0,0.0,0.0,,,0.7,fairfield,1997
