,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
0,1,Kenny Thomas,32.0,32.0,32.7,6.1,12.0,0.506,5.3,9.8,0.537,0.8,2.3,0.375,3.8,5.0,0.767,3.2,6.1,9.3,3.0,0.9,2.5,3.0,3.2,16.8,new mexico,1998
1,2,Clayton Shields,32.0,32.0,34.7,5.8,12.7,0.457,3.0,5.8,0.516,2.8,6.9,0.407,2.3,3.2,0.733,2.0,4.8,6.8,1.7,1.2,0.5,1.5,2.5,16.7,new mexico,1998
2,3,Royce Olney,25.0,25.0,32.0,4.8,8.9,0.536,1.6,2.6,0.591,3.2,6.2,0.513,2.1,2.8,0.754,0.6,1.9,2.5,4.0,1.6,0.0,1.8,1.8,14.8,new mexico,1998
3,4,Lamont Long,32.0,32.0,37.2,5.1,11.1,0.461,4.0,7.7,0.524,1.1,3.4,0.318,2.8,3.6,0.767,1.9,4.2,6.1,2.7,1.5,0.0,2.0,1.8,14.1,new mexico,1998
4,5,David Gibson,32.0,32.0,35.4,2.1,4.4,0.472,1.8,3.4,0.537,0.3,1.1,0.265,1.4,1.8,0.78,0.5,2.3,2.8,3.6,1.3,0.1,1.9,2.5,5.9,new mexico,1998
5,6,Kevin Henry,32.0,1.0,17.2,1.9,4.7,0.4,0.5,1.1,0.444,1.4,3.6,0.386,0.8,1.1,0.722,0.2,1.2,1.3,1.5,0.5,0.0,1.0,1.1,5.9,new mexico,1998
6,7,Ben Baum,31.0,6.0,9.4,0.9,1.8,0.491,0.6,1.3,0.439,0.3,0.5,0.643,0.3,0.4,0.833,0.5,0.9,1.4,0.2,0.2,0.2,0.6,0.9,2.4,new mexico,1998
7,8,Greg Davis,23.0,0.0,7.7,0.8,1.8,0.439,0.6,1.0,0.542,0.2,0.7,0.294,0.2,0.2,0.8,0.4,0.9,1.3,0.4,0.2,0.3,0.4,0.7,2.0,new mexico,1998
8,9,Ryan Noce,10.0,0.0,2.2,0.5,1.2,0.417,0.5,1.2,0.417,0.0,0.0,,0.3,0.4,0.75,0.5,1.2,1.7,0.2,0.1,0.2,0.1,0.5,1.3,new mexico,1998
9,10,Tom Starkey,11.0,0.0,4.8,0.5,1.7,0.263,0.4,1.3,0.286,0.1,0.5,0.2,0.2,0.2,1.0,0.5,0.7,1.2,0.6,0.3,0.2,0.3,0.4,1.2,new mexico,1998
10,11,Marcos White,11.0,0.0,1.5,0.1,0.4,0.25,0.0,0.0,,0.1,0.4,0.25,0.1,0.2,0.5,0.0,0.1,0.1,0.3,0.1,0.0,0.2,0.2,0.4,new mexico,1998
11,12,Nick Andrews,9.0,0.0,1.1,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.3,0.333,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,new mexico,1998
0,1,Russell McCutcheon,29.0,,,6.5,13.5,0.48,4.4,7.8,0.573,2.0,5.8,0.353,1.8,2.2,0.815,,,3.4,2.4,1.7,0.1,,,16.8,nicholls state,1998
1,2,Kenderick Franklin,28.0,,,5.4,10.9,0.497,4.3,7.8,0.558,1.1,3.2,0.348,4.7,6.5,0.729,,,5.1,1.8,1.0,0.9,,,16.7,nicholls state,1998
2,3,Jason McCutcheon,29.0,,30.3,5.3,10.3,0.512,5.1,9.6,0.531,0.2,0.8,0.273,3.5,4.4,0.789,,,5.9,2.3,2.0,1.3,,,14.2,nicholls state,1998
3,4,Linzie Green,29.0,,,4.0,8.3,0.479,3.3,6.3,0.525,0.7,2.0,0.333,2.3,3.0,0.759,,,2.5,1.3,1.0,0.1,,,10.9,nicholls state,1998
4,5,James Banks,28.0,,29.6,2.2,5.3,0.409,1.6,3.2,0.494,0.6,2.1,0.283,2.0,3.2,0.64,,,4.6,4.8,2.5,0.1,,,7.0,nicholls state,1998
5,6,Lorenzo Wright,25.0,,15.8,1.8,3.6,0.484,1.8,3.6,0.484,0.0,0.0,,0.5,1.8,0.289,,,3.7,0.4,0.3,0.5,,,4.0,nicholls state,1998
6,7,Tracy Blake,28.0,,,1.1,3.1,0.345,1.0,2.7,0.368,0.1,0.4,0.182,1.3,2.0,0.655,,,2.3,0.6,0.4,0.1,,,3.5,nicholls state,1998
7,8,Taurus Howard,24.0,,,0.9,2.3,0.389,0.6,1.7,0.366,0.3,0.5,0.462,0.4,0.7,0.625,,,0.9,1.9,1.0,0.0,,,2.4,nicholls state,1998
8,9,Remon Winfrey,18.0,,,0.8,2.6,0.319,0.4,1.2,0.333,0.4,1.4,0.308,0.2,0.5,0.444,,,0.9,1.8,0.6,0.0,,,2.3,nicholls state,1998
9,10,Wayne Edwards,22.0,,,0.5,1.9,0.262,0.1,0.4,0.222,0.4,1.5,0.273,0.0,0.1,0.333,,,0.5,0.2,0.3,0.0,,,1.5,nicholls state,1998
10,11,Michael Marques,3.0,,,0.3,1.0,0.333,0.3,0.3,1.0,0.0,0.7,0.0,0.7,0.7,1.0,,,0.3,0.3,0.3,0.0,,,1.3,nicholls state,1998
11,12,Michael O'Neal,23.0,,,0.3,1.0,0.273,0.3,0.9,0.3,0.0,0.1,0.0,0.0,0.0,0.0,,,0.8,0.4,0.2,0.1,,,0.5,nicholls state,1998
12,13,Jerrod Jessie,14.0,,,0.1,0.3,0.25,0.1,0.3,0.25,0.0,0.0,,0.0,0.3,0.0,,,0.6,0.1,0.1,0.0,,,0.1,nicholls state,1998
0,1,Antawn Jamison,37.0,32.0,33.1,8.5,14.8,0.579,8.4,14.4,0.584,0.2,0.4,0.4,5.0,7.5,0.667,,,10.5,0.8,0.8,0.8,1.6,2.5,22.2,north carolina,1998
1,2,Shammond Williams,38.0,32.0,32.9,5.5,11.3,0.488,3.2,5.6,0.577,2.3,5.7,0.4,3.5,3.8,0.911,,,3.2,4.2,1.0,0.1,2.6,1.2,16.8,north carolina,1998
2,3,Vince Carter,38.0,32.0,31.2,5.9,10.0,0.591,4.7,7.2,0.662,1.2,2.8,0.411,2.6,3.9,0.68,,,5.1,1.9,1.2,0.9,1.1,1.6,15.6,north carolina,1998
3,4,Ed Cota,37.0,31.0,33.0,2.8,5.6,0.493,2.5,4.7,0.529,0.3,0.9,0.303,2.3,2.8,0.824,,,3.6,7.4,1.6,0.2,3.1,1.1,8.1,north carolina,1998
4,5,Ademola Okulaja,38.0,32.0,31.3,2.7,6.6,0.414,2.1,4.2,0.506,0.6,2.4,0.258,1.9,3.0,0.623,,,5.6,2.1,1.2,0.2,1.6,1.9,8.0,north carolina,1998
5,6,Makhtar N'Diaye,38.0,30.0,23.8,2.4,5.0,0.481,2.3,4.7,0.494,0.1,0.3,0.273,0.9,1.4,0.642,,,4.1,0.8,0.6,1.4,1.3,3.5,5.8,north carolina,1998
6,7,Brendan Haywood,38.0,1.0,8.1,0.9,1.7,0.53,0.9,1.7,0.53,0.0,0.0,,1.1,1.7,0.635,,,2.4,0.2,0.3,0.9,0.6,1.2,2.9,north carolina,1998
7,8,Brian Bersticker,19.0,0.0,4.5,1.1,1.9,0.556,1.1,1.9,0.556,0.0,0.0,,0.5,0.5,0.9,,,1.3,0.3,0.1,0.6,0.2,0.9,2.6,north carolina,1998
8,9,Max Owens,22.0,0.0,3.4,0.5,1.4,0.387,0.4,0.9,0.45,0.1,0.5,0.273,0.1,0.3,0.5,,,0.8,0.2,0.2,0.1,0.1,0.4,1.4,north carolina,1998
9,10,Orlando Melendez,3.0,0.0,2.0,0.7,0.7,1.0,0.7,0.7,1.0,0.0,0.0,,0.0,0.0,,,,0.3,0.3,0.0,0.3,0.3,0.0,1.3,north carolina,1998
10,11,Terrence Newby,20.0,0.0,3.8,0.4,0.9,0.444,0.1,0.5,0.2,0.3,0.4,0.75,0.1,0.2,0.25,,,0.2,0.6,0.1,0.1,0.5,0.2,1.2,north carolina,1998
11,12,Michael Brooker,22.0,0.0,3.7,0.2,0.9,0.211,0.0,0.2,0.25,0.1,0.7,0.2,0.1,0.2,0.5,,,0.5,0.4,0.0,0.0,0.5,0.1,0.6,north carolina,1998
12,13,Brad Frederick,24.0,0.0,4.6,0.1,0.4,0.333,0.1,0.3,0.5,0.0,0.1,0.0,0.2,0.3,0.5,,,0.6,0.3,0.0,0.0,0.5,0.3,0.4,north carolina,1998
13,14,Scott Williams,17.0,0.0,1.6,0.1,0.2,0.333,0.1,0.2,0.333,0.0,0.0,,0.1,0.2,0.25,,,0.2,0.4,0.0,0.0,0.2,0.2,0.2,north carolina,1998
0,1,Andrew Mavis,29.0,,,5.0,10.1,0.493,2.5,4.8,0.518,2.5,5.3,0.471,1.6,2.0,0.807,,,4.2,1.0,0.6,0.2,,,14.0,northern arizona,1998
1,2,Casey Frank,29.0,,21.6,4.1,6.6,0.62,4.1,6.6,0.62,0.0,0.0,,2.4,3.6,0.676,,,6.1,1.3,0.9,1.0,,,10.7,northern arizona,1998
2,3,Ross Land,29.0,,28.3,3.6,7.9,0.459,1.3,2.6,0.5,2.3,5.3,0.438,1.2,1.5,0.791,,,2.3,2.8,0.4,0.1,,,10.7,northern arizona,1998
3,4,Dan McClintock,29.0,,16.0,3.8,6.0,0.629,3.8,6.0,0.632,0.0,0.0,0.0,2.0,3.2,0.628,,,3.1,0.6,0.5,1.4,1.7,2.7,9.6,northern arizona,1998
4,5,Michael McNair,22.0,,,2.8,7.1,0.395,1.6,3.6,0.45,1.2,3.5,0.338,2.4,3.2,0.757,,,2.5,2.6,1.5,0.0,,,9.2,northern arizona,1998
5,6,Kawika Akina,23.0,,23.8,1.9,4.0,0.473,1.3,2.7,0.476,0.6,1.2,0.464,2.4,3.1,0.778,,,1.9,4.3,2.3,0.0,,,6.7,northern arizona,1998
6,7,Billy Hix,29.0,,,2.4,4.7,0.522,1.6,2.7,0.603,0.8,2.0,0.414,0.8,1.3,0.649,,,4.7,2.2,0.8,0.1,,,6.6,northern arizona,1998
7,8,Rod Hutchings,29.0,,,2.1,4.6,0.451,1.1,2.2,0.508,0.9,2.3,0.397,1.2,1.5,0.795,,,1.6,3.1,0.8,0.0,,,6.3,northern arizona,1998
8,9,Brendon Polyblank,25.0,,,1.2,2.4,0.517,1.1,2.1,0.538,0.1,0.3,0.375,1.7,2.0,0.824,,,2.0,0.7,0.3,0.0,,,4.3,northern arizona,1998
9,10,Ryan Abbott,15.0,,,1.2,2.5,0.474,0.5,0.9,0.538,0.7,1.7,0.44,0.9,1.3,0.684,,,2.2,0.7,0.5,0.1,,,4.0,northern arizona,1998
10,11,Pat McGrath,23.0,,,1.1,1.9,0.568,0.7,1.2,0.571,0.4,0.7,0.563,0.7,0.9,0.85,,,1.6,0.6,0.3,0.0,,,3.3,northern arizona,1998
11,12,Brian Crampton,6.0,,,0.7,1.0,0.667,0.3,0.3,1.0,0.3,0.7,0.5,0.3,0.3,1.0,,,0.2,0.3,0.2,0.0,,,2.0,northern arizona,1998
12,13,Andrew Wolthers,23.0,,,0.6,1.0,0.583,0.6,1.0,0.583,0.0,0.0,,0.3,0.6,0.615,,,1.8,0.2,0.0,0.0,,,1.6,northern arizona,1998
0,1,Adrian Peterson,29.0,29.0,35.3,5.8,12.6,0.462,4.2,7.8,0.542,1.6,4.7,0.328,4.5,5.7,0.799,,,6.7,1.7,1.2,0.1,1.8,2.0,17.7,oklahoma state,1998
1,2,Brett Robisch,29.0,28.0,33.4,6.2,12.3,0.5,6.0,11.9,0.507,0.1,0.4,0.308,3.0,3.8,0.782,,,8.2,1.2,0.8,0.4,1.6,3.1,15.4,oklahoma state,1998
2,3,Desmond Mason,29.0,29.0,32.7,5.4,10.3,0.525,4.7,7.9,0.587,0.8,2.4,0.319,3.0,4.2,0.699,,,7.7,1.6,1.8,0.7,1.6,2.6,14.6,oklahoma state,1998
3,4,Joe Adkins,29.0,28.0,29.3,4.2,10.1,0.415,2.5,4.9,0.511,1.7,5.3,0.327,2.4,3.1,0.787,,,3.0,3.4,1.9,0.1,3.1,2.4,12.6,oklahoma state,1998
4,5,Chad Alexander,29.0,2.0,16.7,1.6,4.1,0.395,0.5,1.2,0.412,1.1,2.9,0.388,1.1,1.5,0.721,,,1.8,1.0,0.9,0.1,0.7,0.9,5.4,oklahoma state,1998
5,6,Doug Gottlieb,29.0,27.0,31.2,1.9,4.6,0.414,1.5,3.2,0.467,0.4,1.4,0.293,1.2,2.6,0.486,,,2.1,6.9,1.4,0.1,2.5,1.9,5.4,oklahoma state,1998
6,7,Scott Robisch,6.0,0.0,8.3,1.2,1.8,0.636,1.2,1.8,0.636,0.0,0.0,,1.5,2.2,0.692,,,2.7,0.2,0.0,0.0,0.3,0.8,3.8,oklahoma state,1998
7,8,Estell Laster,14.0,0.0,11.1,1.1,2.4,0.471,1.1,2.1,0.517,0.1,0.4,0.2,0.7,1.6,0.435,,,1.3,0.6,0.4,0.3,1.4,0.9,3.1,oklahoma state,1998
8,9,Brian Montonati,25.0,1.0,7.3,1.2,2.4,0.483,1.2,2.4,0.483,0.0,0.0,,0.6,0.8,0.75,,,1.9,0.3,0.2,0.1,0.6,1.4,2.9,oklahoma state,1998
9,10,Alex Webber,29.0,0.0,9.9,1.0,2.1,0.483,1.0,2.1,0.483,0.0,0.0,,0.6,1.1,0.485,,,1.8,0.4,0.2,0.1,1.0,2.1,2.6,oklahoma state,1998
10,11,B.J. Tiger,2.0,0.0,2.5,0.5,1.5,0.333,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,,,0.0,0.0,0.0,0.0,0.5,0.0,1.5,oklahoma state,1998
11,12,Mike Johnson,10.0,0.0,2.4,0.3,0.6,0.5,0.3,0.6,0.5,0.0,0.0,,0.0,0.0,,,,0.8,0.3,0.1,0.0,0.4,0.3,0.6,oklahoma state,1998
12,13,Tommy Warner,7.0,1.0,1.9,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.6,1.0,0.571,,,0.1,0.3,0.0,0.1,0.9,0.1,0.6,oklahoma state,1998
13,14,Joe Phears,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oklahoma state,1998
0,1,Corey Brewer,33.0,33.0,35.4,6.5,15.1,0.429,4.3,9.3,0.463,2.2,5.8,0.375,5.6,7.1,0.798,,,5.6,3.2,1.6,0.5,3.5,2.8,20.8,oklahoma,1998
1,2,Evan Wiley,32.0,28.0,23.8,3.9,6.5,0.593,3.9,6.5,0.596,0.0,0.0,0.0,2.9,4.8,0.612,,,5.2,0.7,0.5,0.6,1.7,2.7,10.7,oklahoma,1998
2,3,Eduardo Najera,30.0,20.0,28.5,4.0,9.3,0.425,3.5,7.7,0.459,0.4,1.6,0.265,2.1,3.4,0.634,,,5.4,1.4,1.2,0.7,1.9,3.1,10.5,oklahoma,1998
3,4,Tim Heskett,2.0,0.0,20.0,3.0,7.5,0.4,1.0,2.0,0.5,2.0,5.5,0.364,1.5,1.5,1.0,,,2.0,2.5,1.0,0.0,2.5,2.5,9.5,oklahoma,1998
4,5,Ryan Humphrey,32.0,24.0,23.3,3.4,7.1,0.482,3.4,7.1,0.485,0.0,0.0,0.0,2.3,4.2,0.549,,,6.5,0.6,0.8,1.8,1.8,2.7,9.2,oklahoma,1998
5,6,Michael Johnson,33.0,29.0,31.7,2.1,5.7,0.372,1.1,3.2,0.336,1.0,2.5,0.42,1.8,2.5,0.753,,,2.8,4.3,1.6,0.2,2.5,2.5,7.1,oklahoma,1998
6,7,Eric Martin,22.0,1.0,19.6,2.1,5.5,0.377,1.4,3.0,0.455,0.7,2.5,0.286,1.6,1.9,0.878,,,3.4,1.2,0.4,0.0,1.1,1.9,6.5,oklahoma,1998
7,8,Robert Allison,33.0,20.0,21.1,2.0,5.2,0.386,0.9,2.0,0.439,1.1,3.2,0.352,1.2,1.7,0.702,,,2.2,1.5,0.9,0.1,1.7,2.0,6.3,oklahoma,1998
8,9,Renzi Stone,33.0,10.0,22.8,1.7,3.4,0.509,1.7,3.3,0.518,0.0,0.1,0.0,1.3,1.8,0.705,,,4.9,1.6,0.4,0.5,1.1,2.2,4.8,oklahoma,1998
9,10,Alex Spaulding,23.0,0.0,6.2,0.7,1.4,0.469,0.4,0.7,0.667,0.2,0.7,0.294,1.0,1.1,0.92,,,0.6,0.5,0.1,0.0,0.9,1.0,2.5,oklahoma,1998
10,11,Bobby Joe Evans,2.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,,0.0,0.0,,,,0.5,0.0,0.0,0.0,0.0,0.5,1.0,oklahoma,1998
11,12,Reggie Bass,6.0,0.0,0.8,0.2,0.5,0.333,0.0,0.0,,0.2,0.5,0.333,0.0,0.0,,,,0.2,0.2,0.0,0.0,0.3,0.0,0.5,oklahoma,1998
0,1,Tamarron Sharpe,29.0,,28.8,6.4,14.7,0.433,5.8,12.6,0.459,0.6,2.2,0.286,3.7,5.3,0.684,,,5.0,1.4,1.5,0.2,3.7,2.6,17.0,prairie view,1998
1,2,Kevin Bell,30.0,,22.7,3.7,7.4,0.495,3.6,7.2,0.502,0.0,0.2,0.2,3.1,4.2,0.738,,,4.9,0.5,0.8,0.5,1.2,2.4,10.5,prairie view,1998
2,3,Julius Marble,30.0,,25.3,3.7,9.3,0.403,3.3,7.9,0.419,0.4,1.4,0.31,1.6,3.1,0.511,,,6.9,0.7,0.6,0.4,2.0,3.0,9.5,prairie view,1998
3,4,Saladin Bilodeau,29.0,,16.9,3.0,8.4,0.351,1.6,4.1,0.383,1.4,4.3,0.32,1.2,2.1,0.574,,,1.9,0.9,1.0,0.0,1.9,2.0,8.5,prairie view,1998
4,5,Jocquinn Arch,29.0,,16.3,2.2,6.5,0.346,1.1,2.4,0.437,1.2,4.0,0.291,1.3,2.2,0.603,,,2.6,0.8,1.1,0.1,1.2,1.9,7.0,prairie view,1998
5,6,King Whetstone,30.0,,25.2,1.9,5.4,0.354,1.6,3.9,0.407,0.3,1.4,0.209,2.4,3.5,0.695,,,3.1,3.0,2.1,0.0,1.9,2.4,6.5,prairie view,1998
6,7,Aron Thompson,30.0,,19.1,1.9,4.3,0.442,1.9,4.3,0.445,0.0,0.0,0.0,1.3,2.6,0.506,,,4.5,0.3,0.7,0.9,1.3,2.5,5.1,prairie view,1998
7,8,Keith Mowbray,14.0,,12.6,1.3,3.2,0.4,1.1,2.6,0.444,0.1,0.6,0.222,1.1,1.6,0.696,,,2.4,0.4,0.5,0.1,1.4,2.1,3.9,prairie view,1998
8,9,Landon Rowe,25.0,,11.4,1.0,2.8,0.362,0.9,2.2,0.411,0.1,0.5,0.154,0.5,1.1,0.444,,,1.5,0.8,0.3,0.2,1.3,1.0,2.6,prairie view,1998
9,10,Omari Traylor,22.0,,10.5,0.7,1.9,0.381,0.7,1.8,0.375,0.0,0.1,0.5,0.4,1.0,0.429,,,2.4,0.4,0.2,0.5,0.6,1.0,1.9,prairie view,1998
10,11,Decedric Giron,25.0,,6.4,0.8,2.0,0.388,0.6,1.2,0.552,0.1,0.8,0.15,0.2,0.7,0.278,,,0.6,0.4,0.1,0.0,0.6,0.9,1.8,prairie view,1998
11,12,Sylvester Lilly,30.0,,11.8,0.5,2.2,0.239,0.5,1.7,0.32,0.0,0.6,0.0,0.5,1.3,0.395,,,1.3,1.5,0.7,0.0,1.6,0.9,1.6,prairie view,1998
12,13,Marlon Hopkins,22.0,,6.6,0.3,1.1,0.292,0.3,1.0,0.304,0.0,0.0,0.0,0.2,0.4,0.556,,,0.9,0.0,0.1,0.1,0.3,0.5,0.9,prairie view,1998
13,14,Jamarcus Graves,14.0,,4.1,0.2,0.7,0.3,0.2,0.5,0.429,0.0,0.2,0.0,0.1,0.5,0.286,,,0.9,0.1,0.1,0.0,0.4,0.4,0.6,prairie view,1998
14,15,Larry Batie,17.0,,4.2,0.1,0.3,0.4,0.1,0.3,0.4,0.0,0.0,,0.0,0.0,,,,0.7,0.0,0.2,0.0,0.1,1.0,0.2,prairie view,1998
15,16,Marquis Patton,1.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,prairie view,1998
0,1,Gabe Lewullis,29.0,,34.7,5.0,9.8,0.511,2.8,4.4,0.63,2.2,5.4,0.414,2.0,2.9,0.687,,,5.3,2.6,1.2,0.4,,,14.2,princeton,1998
1,2,Steve Goodrich,29.0,,,5.2,8.8,0.594,4.2,6.3,0.661,1.1,2.5,0.425,1.8,2.8,0.646,,,4.4,3.4,0.9,0.9,,,13.4,princeton,1998
2,3,Brian Earl,29.0,,34.1,4.3,9.1,0.472,1.3,2.3,0.567,3.0,6.8,0.439,1.4,1.9,0.764,,,2.7,2.1,1.7,0.2,,,13.1,princeton,1998
3,4,Mitch Henderson,29.0,,,3.3,7.0,0.475,2.8,4.9,0.57,0.6,2.1,0.258,1.7,2.4,0.71,,,3.1,4.5,2.2,0.2,,,8.9,princeton,1998
4,5,Jamie Mastaglio,29.0,,,3.1,6.3,0.5,1.9,2.7,0.692,1.3,3.6,0.356,0.8,1.0,0.733,,,3.2,2.0,1.2,0.5,,,8.3,princeton,1998
5,6,Mason Rocca,18.0,,,0.8,1.7,0.484,0.8,1.4,0.538,0.1,0.3,0.2,1.0,1.4,0.72,,,2.2,0.5,0.3,0.0,,,2.7,princeton,1998
6,7,Phillip Belin,16.0,,,0.6,1.0,0.563,0.1,0.2,0.667,0.4,0.8,0.538,0.8,0.9,0.857,,,0.8,0.3,0.1,0.1,,,2.3,princeton,1998
7,8,C.J. Chapman,23.0,,9.1,0.7,2.0,0.348,0.2,0.4,0.4,0.5,1.6,0.333,0.4,0.5,0.818,,,0.5,0.3,0.3,0.0,,,2.3,princeton,1998
8,9,Sean Gregory,16.0,,,0.5,0.6,0.8,0.3,0.3,0.8,0.3,0.3,0.8,0.7,0.9,0.733,,,0.3,0.1,0.1,0.1,,,1.9,princeton,1998
9,10,Nate Walton,27.0,,,0.6,1.6,0.372,0.5,1.0,0.519,0.1,0.6,0.125,0.4,0.9,0.48,,,2.2,1.0,0.3,0.3,,,1.7,princeton,1998
10,11,Darren Hite,16.0,,,0.3,0.9,0.357,0.3,0.8,0.308,0.1,0.1,1.0,0.4,1.0,0.375,,,0.6,0.1,0.3,0.1,,,1.1,princeton,1998
11,12,Terence Rozier-Byrd,12.0,,,0.3,0.7,0.375,0.2,0.4,0.4,0.1,0.3,0.333,0.3,0.8,0.333,,,0.7,0.0,0.0,0.1,,,0.8,princeton,1998
12,13,Lance Walters,9.0,,,0.2,0.7,0.333,0.1,0.1,1.0,0.1,0.6,0.2,0.1,0.2,0.5,,,0.1,0.0,0.0,0.0,,,0.7,princeton,1998
13,14,Chris Kilburn-Peterson,10.0,,,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,,,,0.4,0.3,0.1,0.0,,,0.0,princeton,1998
14,15,Antony Taylor,12.0,,,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.2,0.0,,,0.6,0.2,0.5,0.0,,,0.0,princeton,1998
0,1,Brad Miller,34.0,32.0,29.2,5.6,8.9,0.632,5.5,8.6,0.644,0.1,0.3,0.3,5.9,7.5,0.78,,,8.9,2.5,1.2,1.6,3.0,2.7,17.2,purdue,1998
1,2,Chad Austin,35.0,35.0,32.7,6.1,14.2,0.427,4.1,8.5,0.488,1.9,5.7,0.335,2.9,3.9,0.763,,,3.7,3.7,1.3,0.1,2.4,1.5,17.0,purdue,1998
2,3,Jaraan Cornell,28.0,25.0,23.4,4.4,8.5,0.519,2.2,4.1,0.539,2.2,4.4,0.5,1.9,2.3,0.813,,,2.9,2.3,1.3,0.1,1.9,1.9,12.8,purdue,1998
3,4,Brian Cardinal,36.0,32.0,25.7,3.9,7.6,0.509,3.1,5.7,0.537,0.8,1.9,0.429,3.4,4.3,0.787,,,4.9,1.8,1.8,0.3,1.4,3.3,12.0,purdue,1998
4,5,Mike Robinson,36.0,12.0,24.1,4.5,8.8,0.511,4.2,7.6,0.557,0.3,1.2,0.214,2.1,2.8,0.768,,,5.3,1.7,0.6,0.4,1.6,1.7,11.3,purdue,1998
5,6,Alan Eldridge,36.0,35.0,28.0,2.5,6.3,0.395,1.3,3.1,0.411,1.2,3.2,0.379,1.0,1.2,0.814,,,2.6,3.6,1.4,0.2,2.5,1.2,7.2,purdue,1998
6,7,Gary McQuay,36.0,7.0,19.3,2.4,5.2,0.465,2.3,4.8,0.483,0.1,0.4,0.267,1.0,1.9,0.544,,,4.6,1.0,0.5,1.0,1.2,1.8,6.0,purdue,1998
7,8,Tony Mayfield,36.0,2.0,16.6,0.8,1.9,0.412,0.4,0.8,0.433,0.4,1.1,0.395,0.6,0.8,0.69,,,1.7,2.1,0.6,0.1,1.4,2.1,2.5,purdue,1998
8,9,Chad Kerkhof,11.0,0.0,8.1,0.5,1.6,0.333,0.3,1.0,0.273,0.3,0.6,0.429,0.5,0.5,0.833,,,1.1,0.6,0.8,0.0,0.6,0.9,1.8,purdue,1998
9,10,B.J. Carretta,20.0,0.0,4.6,0.6,1.2,0.478,0.4,0.5,0.8,0.2,0.7,0.231,0.2,0.3,0.667,,,0.5,0.4,0.1,0.0,0.4,0.5,1.5,purdue,1998
10,11,Mosi Barnes,26.0,0.0,6.0,0.3,1.3,0.235,0.2,0.7,0.235,0.2,0.7,0.235,0.2,0.2,1.0,,,0.6,0.5,0.1,0.0,0.4,0.2,0.9,purdue,1998
11,12,Jeremy Miller,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,purdue,1998
0,1,Corey Reed,30.0,,,4.9,11.0,0.445,1.6,3.2,0.516,3.3,7.8,0.417,1.7,2.1,0.823,,,3.8,3.7,1.5,0.2,,,14.8,radford,1998
1,2,Kevin Robinson,29.0,,,5.0,8.4,0.588,5.0,8.4,0.588,0.0,0.0,,3.3,4.8,0.693,,,8.8,1.1,1.0,0.4,,,13.3,radford,1998
2,3,Leslie Ballard,30.0,,26.3,4.1,10.4,0.397,1.9,3.9,0.475,2.3,6.5,0.351,0.9,1.4,0.651,,,2.0,1.7,0.6,0.1,,,11.5,radford,1998
3,4,Eric Parker,30.0,,,3.3,5.7,0.576,3.3,5.7,0.576,0.0,0.0,,2.1,3.6,0.583,,,5.7,0.6,0.4,1.6,,,8.7,radford,1998
4,5,Ryan Charles,30.0,,18.3,2.9,5.3,0.557,2.9,5.3,0.557,0.0,0.0,,2.5,3.5,0.712,,,4.2,0.5,0.7,0.6,,,8.3,radford,1998
5,6,Rian Everett,30.0,,29.6,1.9,4.7,0.394,1.0,2.4,0.403,0.9,2.3,0.386,1.4,1.8,0.745,,,1.7,4.4,1.3,0.0,,,6.0,radford,1998
6,7,Chibi Johnson,30.0,,,2.0,5.3,0.377,1.8,4.5,0.396,0.2,0.8,0.28,1.7,2.4,0.732,,,3.1,3.0,1.2,0.1,,,6.0,radford,1998
7,8,Jon Belt,29.0,,,2.0,4.7,0.423,0.8,1.6,0.489,1.2,3.1,0.389,0.2,0.5,0.429,,,1.3,1.2,1.0,0.1,,,5.4,radford,1998
8,9,Byron Hall,6.0,,,1.2,3.0,0.389,0.2,0.7,0.25,1.0,2.3,0.429,0.0,0.0,,,,0.8,0.0,0.0,0.0,,,3.3,radford,1998
9,10,Jamar Betz,7.0,,,0.7,1.4,0.5,0.7,1.3,0.556,0.0,0.1,0.0,0.4,0.6,0.75,,,0.9,0.4,0.0,0.1,,,1.9,radford,1998
