,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
8,9,Zac Dalton,4.0,0.0,8.0,5.0,25.0,0.2,5.0,20.0,0.25,0.0,5.0,0.0,0.0,0.0,,25.0,0.0,0.0,0.0,0.0,0.0,10.0,utah,1999
9,10,Nate Althoff,32.0,30.0,676.0,3.8,6.3,0.604,3.8,6.3,0.604,0.0,0.0,,1.7,3.3,0.518,8.5,0.9,0.7,2.5,1.9,5.5,9.3,utah,1999
10,11,Tyson Johnston,22.0,0.0,104.0,2.3,7.3,0.316,2.3,7.3,0.316,0.0,0.0,,2.3,5.4,0.429,8.1,1.2,1.2,1.5,1.5,2.3,6.9,utah,1999
11,12,Adam Sharp,32.0,0.0,489.0,2.4,5.8,0.408,2.0,4.5,0.436,0.4,1.3,0.313,0.8,1.1,0.769,3.1,2.9,1.9,0.2,,2.0,6.0,utah,1999
12,13,Brad Crockett,20.0,0.0,120.0,1.7,4.0,0.417,1.0,2.0,0.5,0.7,2.0,0.333,0.3,1.3,0.25,3.3,0.3,1.0,0.0,2.0,7.0,4.3,utah,1999
13,14,Ben Heusser,14.0,0.0,58.0,0.7,5.5,0.125,0.7,3.4,0.2,0.0,2.1,0.0,1.4,2.8,0.5,3.4,2.1,0.7,0.0,3.4,2.8,2.8,utah,1999
0,1,Marty Perry,11.0,,41.0,8.8,21.5,0.409,6.8,14.6,0.467,2.0,6.8,0.286,2.0,2.9,0.667,11.7,0.0,0.0,0.0,,,21.5,valparaiso,1999
1,2,Aric Graham,11.0,,39.0,7.2,15.4,0.467,4.1,9.2,0.444,3.1,6.2,0.5,2.1,4.1,0.5,9.2,2.1,1.0,0.0,,,19.5,valparaiso,1999
2,3,Lubos Barton,32.0,,914.0,7.0,15.2,0.457,4.2,7.7,0.554,2.7,7.6,0.358,2.7,3.3,0.813,7.8,3.2,2.2,1.1,,,19.3,valparaiso,1999
3,4,Zoran Viskovic,29.0,,756.0,6.6,10.8,0.608,6.6,10.8,0.608,0.0,0.0,,3.2,5.0,0.642,10.6,1.8,0.5,2.7,,,16.3,valparaiso,1999
4,5,Ivan Vujic,32.0,,849.0,6.6,11.6,0.567,6.6,11.6,0.569,0.0,0.0,0.0,2.8,5.6,0.508,9.1,3.4,0.6,1.9,,,16.0,valparaiso,1999
5,6,Tarrance Price,32.0,,675.0,5.0,11.1,0.455,3.1,6.5,0.482,1.9,4.6,0.416,3.9,4.9,0.783,5.8,3.1,1.1,0.5,,,15.8,valparaiso,1999
6,7,Milo Stovall,32.0,,949.0,4.7,12.0,0.394,3.2,7.2,0.45,1.5,4.8,0.31,3.4,4.3,0.784,6.1,4.2,1.6,0.3,,,14.3,valparaiso,1999
7,8,Jason Jenkins,32.0,,572.0,4.5,9.7,0.468,2.5,4.2,0.6,2.0,5.5,0.367,2.0,3.0,0.674,6.1,2.2,1.4,0.0,,,13.1,valparaiso,1999
8,9,Marko Punda,28.0,,344.0,4.8,12.1,0.394,3.5,6.5,0.536,1.3,5.6,0.229,2.1,2.8,0.75,6.0,2.6,1.0,0.1,,,12.9,valparaiso,1999
9,10,Aaron Thomason,32.0,,214.0,4.5,7.5,0.6,4.5,7.5,0.6,0.0,0.0,,3.2,5.2,0.607,6.9,1.3,0.2,1.5,,,12.1,valparaiso,1999
10,11,Chris Sparks,11.0,,39.0,3.1,9.2,0.333,2.1,7.2,0.286,1.0,2.1,0.5,2.1,2.1,1.0,6.2,4.1,0.0,0.0,,,9.2,valparaiso,1999
11,12,Greg Tonagel,32.0,,872.0,2.4,6.6,0.368,1.1,2.4,0.434,1.4,4.2,0.33,2.2,2.2,0.959,3.5,4.5,1.6,0.2,,,8.4,valparaiso,1999
12,13,Jared Nuness,5.0,,127.0,3.1,7.6,0.417,1.9,3.1,0.6,1.3,4.4,0.286,0.6,1.3,0.5,5.0,7.2,1.6,0.0,,,8.2,valparaiso,1999
13,14,Ryan Sexson,13.0,,34.0,3.5,10.6,0.333,3.5,4.7,0.75,0.0,5.9,0.0,1.2,2.4,0.5,5.9,7.1,4.7,0.0,,,8.2,valparaiso,1999
0,1,Christopher Grier,6.0,0.0,11.0,3.6,18.2,0.2,3.6,7.3,0.5,0.0,10.9,0.0,14.5,14.5,1.0,10.9,0.0,3.6,0.0,3.6,3.6,21.8,villanova,1999
1,2,John Celestand,31.0,,1006.0,6.0,13.8,0.437,3.7,7.7,0.479,2.3,6.1,0.383,3.9,4.9,0.798,3.8,5.4,1.6,0.3,3.7,2.7,18.4,villanova,1999
2,3,Howard Brown,32.0,,1057.0,5.8,12.5,0.459,4.0,7.5,0.533,1.8,5.1,0.351,3.0,4.2,0.718,6.1,3.0,1.9,0.4,2.3,2.2,16.3,villanova,1999
3,4,Malik Allen,32.0,,887.0,6.1,10.9,0.564,6.1,10.9,0.564,0.0,0.0,,3.8,4.8,0.794,9.1,1.4,1.1,3.2,2.5,4.0,16.1,villanova,1999
4,5,Brian Lynch,32.0,31.0,853.0,5.4,12.4,0.439,2.9,6.1,0.466,2.6,6.2,0.414,2.2,3.0,0.734,5.4,3.7,1.5,0.5,3.2,2.7,15.7,villanova,1999
5,6,Jermaine Medley,32.0,3.0,496.0,5.3,14.2,0.375,2.2,4.9,0.443,3.1,9.3,0.339,1.6,2.0,0.8,2.7,3.4,1.6,0.2,2.1,3.1,15.4,villanova,1999
6,7,T.J. Caouette,30.0,,444.0,4.2,10.4,0.409,2.4,4.7,0.519,1.8,5.7,0.317,3.3,4.0,0.841,7.7,2.0,1.3,0.1,,4.6,13.6,villanova,1999
7,8,Rafal Bigus,32.0,,594.0,4.8,10.6,0.456,4.8,10.6,0.456,0.0,0.0,,3.3,6.2,0.533,9.8,1.1,0.5,1.5,,4.9,13.0,villanova,1999
8,9,Simon Ogunlesi,8.0,0.0,78.0,4.1,13.8,0.296,4.1,13.8,0.296,0.0,0.0,,3.6,7.2,0.5,15.9,0.5,5.6,1.0,5.6,6.7,11.8,villanova,1999
9,10,Brooks Sales,32.0,15.0,554.0,4.2,8.4,0.496,4.2,8.3,0.504,0.0,0.1,0.0,3.4,4.3,0.783,11.8,1.5,1.9,1.3,2.9,5.1,11.8,villanova,1999
10,11,Bobby Smith,32.0,1.0,439.0,2.0,6.0,0.333,1.6,4.8,0.34,0.4,1.2,0.308,3.0,4.2,0.717,3.1,4.7,1.3,0.0,,2.8,7.4,villanova,1999
11,12,Michael Bosl,6.0,0.0,11.0,3.6,14.5,0.25,3.6,7.3,0.5,0.0,7.3,0.0,0.0,0.0,,3.6,3.6,3.6,0.0,10.9,10.9,7.3,villanova,1999
12,13,Chris Lee,6.0,0.0,11.0,3.6,18.2,0.2,3.6,18.2,0.2,0.0,0.0,,0.0,10.9,0.0,14.5,0.0,0.0,0.0,7.3,7.3,7.3,villanova,1999
13,14,Johnny Holley,9.0,0.0,30.0,2.7,13.3,0.2,2.7,9.3,0.286,0.0,4.0,0.0,0.0,0.0,,5.3,2.7,0.0,1.3,0.0,5.3,5.3,villanova,1999
0,1,Andrew Moritz,11.0,0.0,16.0,10.0,17.5,0.571,5.0,10.0,0.5,5.0,7.5,0.667,0.0,5.0,0.0,7.5,12.5,2.5,0.0,10.0,5.0,25.0,washington,1999
1,2,Todd MacCulloch,29.0,29.0,904.0,9.3,14.0,0.662,9.3,14.0,0.662,0.0,0.0,,5.4,9.1,0.595,15.3,1.1,1.3,2.1,1.9,3.3,24.0,washington,1999
2,3,Deon Luton,29.0,29.0,899.0,6.1,13.8,0.439,3.8,7.3,0.515,2.3,6.5,0.352,4.1,5.3,0.788,2.7,2.6,1.0,0.8,3.5,1.8,18.5,washington,1999
3,4,Bryan Brown,14.0,0.0,53.0,5.3,14.3,0.368,0.8,1.5,0.5,4.5,12.8,0.353,1.5,3.0,0.5,5.3,4.5,1.5,0.0,6.0,6.0,16.6,washington,1999
4,5,Donald Watts,25.0,25.0,791.0,5.2,11.9,0.436,3.6,8.7,0.413,1.6,3.2,0.5,4.6,6.4,0.709,4.7,4.7,1.3,0.3,3.9,2.4,16.6,washington,1999
5,6,Travis Duty,1.0,0.0,5.0,8.0,8.0,1.0,8.0,8.0,1.0,0.0,0.0,,0.0,0.0,,16.0,0.0,0.0,0.0,0.0,16.0,16.0,washington,1999
6,7,Senque Carey,29.0,18.0,736.0,4.1,9.9,0.418,3.3,6.6,0.496,0.9,3.3,0.262,4.5,6.0,0.755,4.9,5.1,0.8,0.1,4.2,2.5,13.6,washington,1999
7,8,Michael Johnson,29.0,2.0,429.0,4.7,10.2,0.459,3.5,6.7,0.528,1.1,3.4,0.324,1.9,2.8,0.667,4.5,2.5,1.1,0.1,3.4,3.2,12.3,washington,1999
8,9,Chris Walcott,29.0,12.0,565.0,4.1,7.9,0.518,4.1,7.6,0.537,0.0,0.3,0.0,3.0,4.0,0.768,5.9,1.7,2.0,0.4,3.0,5.5,11.3,washington,1999
9,10,Grant Leep,21.0,0.0,112.0,3.6,11.8,0.303,2.5,6.8,0.368,1.1,5.0,0.214,1.4,2.1,0.667,5.4,1.1,1.8,1.1,0.4,2.5,9.6,washington,1999
10,11,Thalo Green,29.0,11.0,449.0,3.8,9.2,0.417,3.8,8.9,0.43,0.0,0.3,0.0,1.8,3.2,0.556,5.6,3.3,1.3,0.4,3.0,6.2,9.4,washington,1999
11,12,Dan Dickau,13.0,11.0,296.0,3.0,7.6,0.393,1.5,3.4,0.44,1.5,4.2,0.355,0.7,0.9,0.714,5.1,4.6,1.5,0.0,3.8,3.6,8.1,washington,1999
12,13,Marlon Shelton,13.0,0.0,29.0,1.4,6.9,0.2,1.4,6.9,0.2,0.0,0.0,,4.1,8.3,0.5,9.7,0.0,0.0,2.8,,12.4,6.9,washington,1999
13,14,Greg Clark,29.0,8.0,541.0,2.1,6.0,0.346,1.4,3.8,0.365,0.7,2.1,0.31,2.0,4.5,0.443,5.7,3.0,1.6,0.4,2.7,3.3,6.8,washington,1999
0,1,Harold Arceneaux,32.0,30.0,1014.0,10.5,20.6,0.511,9.2,16.5,0.555,1.3,4.1,0.33,5.8,7.7,0.758,7.6,2.2,2.2,2.0,3.9,,28.1,weber state,1999
1,2,Dan Del Vecchio,14.0,0.0,45.0,7.1,12.4,0.571,7.1,12.4,0.571,0.0,0.0,,4.4,7.1,0.625,8.9,3.6,0.9,1.8,4.4,,18.7,weber state,1999
2,3,Eddie Gill,33.0,33.0,1145.0,4.9,11.6,0.426,2.0,4.5,0.453,2.9,7.1,0.409,3.4,3.9,0.874,4.5,5.2,3.1,0.3,3.5,,16.1,weber state,1999
3,4,Shawn Moore,28.0,1.0,259.0,6.0,13.3,0.453,3.6,7.7,0.46,2.5,5.6,0.444,1.5,2.0,0.769,4.0,1.4,0.8,0.0,3.1,,16.1,weber state,1999
4,5,Noel Jackson,32.0,29.0,1013.0,5.5,11.3,0.49,4.7,9.0,0.522,0.8,2.3,0.362,2.4,3.6,0.659,3.8,3.7,1.3,0.1,2.3,,14.3,weber state,1999
5,6,Fred Dawson,15.0,0.0,46.0,7.0,16.5,0.421,7.0,16.5,0.421,0.0,0.0,,0.0,0.9,0.0,11.3,1.7,0.0,0.0,4.3,,13.9,weber state,1999
6,7,Marc Lawson,33.0,9.0,449.0,4.4,9.7,0.45,1.9,3.8,0.488,2.5,5.9,0.424,2.3,3.1,0.743,6.1,3.4,2.0,0.1,1.2,,13.5,weber state,1999
7,8,Andy Jensen,33.0,33.0,938.0,5.3,8.0,0.663,5.3,8.0,0.663,0.0,0.0,,2.2,3.3,0.675,9.2,1.3,1.4,0.1,2.6,,12.8,weber state,1999
8,9,Chris Woods,28.0,0.0,162.0,3.5,12.3,0.28,3.5,12.3,0.28,0.0,0.0,,5.2,7.9,0.656,6.2,3.7,1.5,0.0,2.5,,12.1,weber state,1999
9,10,Damien Baskerville,33.0,21.0,860.0,4.0,9.0,0.438,3.4,7.2,0.477,0.5,1.8,0.282,2.5,3.9,0.631,7.4,3.7,2.1,0.1,2.5,,10.9,weber state,1999
10,11,Marc Thurig,22.0,0.0,112.0,4.3,9.3,0.462,4.3,9.3,0.462,0.0,0.0,,1.4,5.4,0.267,12.1,1.8,0.7,0.7,2.9,,10.0,weber state,1999
11,12,Eric Ketcham,32.0,8.0,397.0,3.7,8.8,0.425,2.9,6.1,0.475,0.8,2.6,0.308,1.4,2.3,0.609,9.4,2.5,1.2,0.8,3.4,,9.7,weber state,1999
12,13,Joey Haws,29.0,0.0,143.0,3.1,8.4,0.367,3.1,8.4,0.367,0.0,0.0,,1.4,3.9,0.357,8.4,0.6,0.8,2.2,3.4,,7.6,weber state,1999
13,14,Luke Condill,27.0,,,,,0.342,,,0.3,,,0.357,,,0.667,,,,,,,,weber state,1999
0,1,Robbie Waldrop,25.0,,610.0,6.0,15.3,0.395,1.4,2.8,0.488,4.7,12.5,0.374,2.0,2.7,0.756,3.7,4.0,1.5,0.3,2.3,2.2,18.8,winthrop,1999
1,2,Heson Groves,28.0,,835.0,6.0,12.3,0.492,6.0,12.3,0.492,0.0,0.0,,3.9,6.3,0.621,10.1,1.0,0.8,1.3,2.1,3.4,16.0,winthrop,1999
2,3,Tyson Waterman,29.0,,833.0,4.5,11.4,0.397,1.5,3.4,0.451,3.0,8.0,0.373,4.0,4.8,0.832,5.2,6.1,2.0,0.0,4.4,3.3,16.0,winthrop,1999
3,4,Roger Toxey,28.0,,821.0,5.1,11.3,0.448,3.5,6.3,0.546,1.6,5.0,0.324,3.2,4.1,0.776,5.7,3.2,2.2,0.3,2.3,2.2,15.0,winthrop,1999
4,5,Dan Tollens,29.0,,368.0,5.3,11.5,0.462,4.2,8.6,0.494,1.1,2.9,0.37,2.7,4.3,0.625,8.8,1.6,1.5,0.7,2.1,5.2,14.5,winthrop,1999
5,6,Eric Fisher,20.0,,180.0,6.0,9.1,0.659,6.0,9.1,0.659,0.0,0.0,,1.6,4.9,0.318,8.4,1.1,1.6,2.4,2.4,4.7,13.6,winthrop,1999
6,7,Pierre Wooten,28.0,,281.0,2.8,9.7,0.294,2.6,7.5,0.34,0.3,2.1,0.133,4.8,7.4,0.654,3.1,4.7,1.9,0.3,5.1,4.1,10.8,winthrop,1999
7,8,Juontonio Pinckney,18.0,,176.0,3.9,9.5,0.405,3.9,9.5,0.405,0.0,0.0,,2.7,6.1,0.444,9.8,0.9,1.6,0.7,2.5,7.0,10.5,winthrop,1999
8,9,Jacques Vandescure,29.0,,839.0,3.6,7.4,0.487,3.6,7.3,0.494,0.0,0.1,0.0,3.1,5.6,0.564,5.2,1.4,1.0,0.4,2.3,3.8,10.4,winthrop,1999
9,10,Rob Wallace,21.0,,77.0,3.6,7.8,0.467,2.1,3.1,0.667,1.6,4.7,0.333,1.6,2.1,0.75,6.8,3.6,2.6,0.5,2.6,5.2,10.4,winthrop,1999
10,11,Eyo Effiong,21.0,,348.0,2.9,7.1,0.403,2.9,7.0,0.41,0.0,0.1,0.0,4.0,6.4,0.625,8.3,0.9,0.8,0.7,2.9,5.3,9.8,winthrop,1999
11,12,Reggie Coles,21.0,,174.0,3.7,9.4,0.39,2.3,5.7,0.4,1.4,3.7,0.375,0.9,1.4,0.667,5.1,1.4,0.5,0.0,1.6,4.4,9.7,winthrop,1999
12,13,Adrian Stockman,24.0,,220.0,3.3,11.5,0.286,1.6,5.5,0.3,1.6,6.0,0.273,0.5,0.9,0.6,4.4,5.6,2.0,0.2,4.4,3.3,8.7,winthrop,1999
13,14,Owen Barnes,15.0,,59.0,1.4,4.1,0.333,1.4,4.1,0.333,0.0,0.0,,0.7,2.7,0.25,8.8,1.4,0.7,1.4,1.4,6.1,3.4,winthrop,1999
14,15,Corey Green,1.0,,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,winthrop,1999
0,1,Erik Faust,6.0,0.0,10.0,8.0,16.0,0.5,8.0,16.0,0.5,0.0,0.0,,8.0,12.0,0.667,8.0,4.0,0.0,0.0,0.0,4.0,24.0,wisconsin,1999
1,2,Sean Mason,32.0,32.0,937.0,6.9,17.9,0.387,3.6,9.0,0.398,3.3,8.9,0.375,5.8,7.2,0.811,5.8,2.6,1.2,0.6,3.4,3.2,23.0,wisconsin,1999
2,3,Duany Duany,21.0,0.0,123.0,5.9,14.0,0.419,2.9,5.9,0.5,2.9,8.1,0.36,2.3,3.3,0.7,6.2,1.6,0.7,1.0,3.3,2.9,16.9,wisconsin,1999
3,4,Jon Bryant,31.0,0.0,516.0,5.6,12.5,0.447,2.0,3.3,0.619,3.6,9.2,0.387,0.3,0.4,0.8,3.1,1.3,1.2,0.1,0.6,2.0,15.0,wisconsin,1999
4,5,Travon Davis,12.0,0.0,37.0,2.2,13.0,0.167,0.0,8.6,0.0,2.2,4.3,0.5,7.6,15.1,0.5,7.6,6.5,1.1,0.0,5.4,5.4,14.1,wisconsin,1999
5,6,Ty Calderwood,32.0,31.0,906.0,4.4,11.0,0.396,1.9,3.8,0.518,2.4,7.3,0.333,2.0,2.5,0.789,4.2,4.6,2.1,0.0,3.1,3.4,13.2,wisconsin,1999
6,7,John Moriarity,7.0,0.0,14.0,5.7,8.6,0.667,5.7,8.6,0.667,0.0,0.0,,0.0,0.0,,8.6,2.9,0.0,0.0,0.0,5.7,11.4,wisconsin,1999
7,8,Mark Vershaw,32.0,14.0,810.0,4.1,9.1,0.454,4.1,9.0,0.462,0.0,0.1,0.0,3.0,3.7,0.813,4.8,2.8,0.4,0.5,2.3,2.7,11.3,wisconsin,1999
8,9,Hennssy Auriantal,24.0,7.0,349.0,3.4,9.5,0.361,2.3,6.2,0.37,1.1,3.3,0.345,2.4,3.4,0.7,3.9,3.8,2.2,0.2,3.2,4.2,10.4,wisconsin,1999
9,10,Andy Kowske,32.0,32.0,784.0,4.3,7.6,0.574,4.3,7.6,0.574,0.0,0.0,,1.2,2.7,0.442,8.0,0.5,0.8,1.4,1.8,4.3,9.8,wisconsin,1999
10,11,Charlie Wills,32.0,15.0,602.0,3.5,6.5,0.531,3.5,6.3,0.547,0.0,0.2,0.0,2.7,3.5,0.769,7.0,1.4,0.9,0.3,2.0,4.5,9.6,wisconsin,1999
11,12,Maurice Linton,32.0,5.0,400.0,2.9,6.7,0.433,2.9,6.7,0.433,0.0,0.0,,1.6,2.2,0.727,7.2,3.0,1.0,1.0,3.1,5.7,7.4,wisconsin,1999
12,13,David Burkemper,9.0,1.0,34.0,2.4,3.5,0.667,1.2,2.4,0.5,1.2,1.2,1.0,1.2,4.7,0.25,4.7,2.4,0.0,0.0,3.5,3.5,7.1,wisconsin,1999
13,14,Mike Kelley,32.0,23.0,891.0,2.0,4.2,0.479,1.9,3.6,0.525,0.1,0.6,0.214,2.2,2.9,0.754,3.9,3.9,2.8,0.3,0.9,3.9,6.4,wisconsin,1999
14,15,Maurice Sessoms,8.0,0.0,12.0,0.0,6.7,0.0,0.0,6.7,0.0,0.0,0.0,,0.0,0.0,,10.0,0.0,0.0,0.0,,0.0,0.0,wisconsin,1999
0,1,Rufus Leach,32.0,32.0,821.0,8.6,19.1,0.448,3.6,7.4,0.48,5.0,11.7,0.427,3.4,4.0,0.843,2.8,3.4,2.6,0.1,2.7,2.8,25.6,appalachian state,2000
1,2,Mike Patten,25.0,25.0,126.0,7.0,10.8,0.647,7.0,10.8,0.647,0.0,0.0,,5.1,7.9,0.64,7.6,0.6,0.6,0.6,4.8,6.3,19.0,appalachian state,2000
2,3,Tyson Patterson,32.0,32.0,1030.0,6.4,13.8,0.465,5.7,11.7,0.487,0.7,2.1,0.345,4.3,6.2,0.704,3.6,8.5,3.4,0.2,3.9,2.9,17.9,appalachian state,2000
3,4,Shawn Alexander,32.0,32.0,864.0,6.0,11.4,0.522,4.8,8.5,0.565,1.2,2.9,0.397,3.2,4.6,0.707,7.4,2.8,2.2,0.6,2.8,3.3,16.3,appalachian state,2000
4,5,Cedrick Holmes,29.0,29.0,833.0,6.4,10.9,0.59,6.4,10.9,0.59,0.0,0.0,,3.3,4.5,0.734,10.5,1.6,1.9,1.2,2.7,4.5,16.2,appalachian state,2000
5,6,Corey Cooper,30.0,30.0,718.0,5.3,10.1,0.53,5.3,10.1,0.53,0.0,0.0,,2.8,4.0,0.704,8.4,0.9,1.2,2.0,2.9,5.0,13.5,appalachian state,2000
6,7,Josh Shehan,31.0,31.0,275.0,4.5,8.0,0.564,4.5,8.0,0.564,0.0,0.0,,3.8,6.4,0.591,11.1,1.3,0.7,1.6,3.2,6.3,12.8,appalachian state,2000
7,8,Buddy Davis,32.0,32.0,543.0,4.9,9.9,0.496,4.9,9.9,0.496,0.0,0.0,,2.5,4.6,0.548,10.9,0.8,0.5,1.8,3.1,5.0,12.4,appalachian state,2000
8,9,Matt McMahon,32.0,32.0,763.0,3.6,9.8,0.366,1.2,2.8,0.426,2.4,6.9,0.341,1.8,2.3,0.791,2.9,3.1,1.5,0.1,2.4,2.8,11.3,appalachian state,2000
9,10,Nick Huge,23.0,23.0,131.0,4.0,9.2,0.433,2.4,4.6,0.533,1.5,4.6,0.333,1.5,1.8,0.833,7.0,2.7,2.1,0.3,3.1,7.0,11.0,appalachian state,2000
10,11,Brian Boxler,3.0,3.0,20.0,2.0,8.0,0.25,2.0,8.0,0.25,0.0,0.0,,4.0,4.0,1.0,6.0,0.0,0.0,4.0,0.0,10.0,8.0,appalachian state,2000
11,12,Kent Phillips,14.0,14.0,47.0,2.6,8.5,0.3,0.0,0.9,0.0,2.6,7.7,0.333,0.0,0.0,,5.1,6.0,1.7,0.9,3.4,0.9,7.7,appalachian state,2000
12,13,Jonathan Butler,32.0,32.0,246.0,1.6,3.9,0.417,1.6,3.9,0.417,0.0,0.0,,2.0,2.8,0.706,4.2,6.3,3.7,0.3,5.2,4.1,5.2,appalachian state,2000
13,14,Micah Hill,1.0,,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,20.0,40.0,0.0,appalachian state,2000
0,1,Josh Pastner,14.0,0.0,21.0,9.5,28.6,0.333,1.9,15.2,0.125,7.6,13.3,0.571,5.7,7.6,0.75,5.7,1.9,0.0,0.0,5.7,0.0,32.4,arizona,2000
1,2,Michael Wright,34.0,34.0,1059.0,7.2,12.6,0.569,7.1,12.6,0.568,0.0,0.0,1.0,5.5,7.7,0.714,11.2,0.8,0.8,0.2,2.5,2.3,19.9,arizona,2000
2,3,Loren Woods,26.0,25.0,820.0,7.5,14.0,0.538,7.5,13.9,0.542,0.0,0.1,0.0,4.7,6.2,0.758,9.5,1.9,1.0,5.0,2.7,2.4,19.8,arizona,2000
3,4,Gilbert Arenas,34.0,31.0,1093.0,6.8,15.1,0.453,5.5,10.4,0.527,1.4,4.8,0.292,4.1,5.4,0.75,5.1,2.6,2.6,0.3,3.2,3.0,19.1,arizona,2000
4,5,Richard Jefferson,21.0,17.0,495.0,6.8,13.5,0.503,5.4,10.3,0.528,1.4,3.2,0.425,3.6,5.1,0.714,7.4,4.7,0.5,1.9,4.4,4.3,18.6,arizona,2000
5,6,Jason Gardner,34.0,33.0,1244.0,3.8,10.0,0.378,1.5,3.8,0.403,2.3,6.2,0.363,3.9,5.3,0.729,4.0,5.2,1.8,0.1,3.1,2.2,13.7,arizona,2000
6,7,Rick Anderson,33.0,2.0,448.0,4.7,11.4,0.414,3.6,7.2,0.494,1.2,4.2,0.277,2.7,3.5,0.769,6.3,2.4,1.2,1.3,2.1,3.8,13.3,arizona,2000
7,8,Peter Hansen,4.0,0.0,8.0,5.0,5.0,1.0,5.0,5.0,1.0,0.0,0.0,,0.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,10.0,arizona,2000
8,9,Luke Walton,34.0,19.0,868.0,3.0,8.5,0.353,2.5,5.9,0.419,0.5,2.5,0.2,2.4,3.4,0.712,6.4,6.0,1.7,1.0,3.6,3.0,8.9,arizona,2000
9,10,Justin Wessel,32.0,8.0,581.0,2.8,7.0,0.402,2.8,6.8,0.414,0.0,0.2,0.0,2.1,2.5,0.811,7.5,1.4,1.7,0.7,1.8,3.9,7.7,arizona,2000
10,11,Robertas Javtokas,8.0,0.0,55.0,2.2,5.8,0.375,2.2,5.8,0.375,0.0,0.0,,0.0,3.6,0.0,7.3,0.0,0.7,2.9,0.7,6.5,4.4,arizona,2000
11,12,John Ash,16.0,1.0,53.0,0.8,5.3,0.143,0.0,2.3,0.0,0.8,3.0,0.25,1.5,2.3,0.667,1.5,0.8,0.8,0.0,3.0,3.0,3.8,arizona,2000
12,13,Lamont Frazier,7.0,0.0,76.0,1.1,10.0,0.105,1.1,10.0,0.105,0.0,0.0,,0.0,0.0,,5.8,3.2,3.2,0.5,5.3,0.5,2.1,arizona,2000
13,14,Russell Harris,3.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,arizona,2000
0,1,Teddy Gipson,32.0,3.0,278.0,15.5,32.7,0.476,10.5,20.0,0.525,5.0,12.7,0.398,3.9,8.1,0.482,11.7,6.5,5.6,0.9,3.3,2.4,40.0,arkansas,2000
1,2,Alonzo Lane,34.0,10.0,377.0,11.5,20.5,0.56,11.5,20.5,0.56,0.0,0.0,,5.6,11.2,0.5,14.6,2.9,2.3,3.6,3.1,5.0,28.5,arkansas,2000
2,3,Carl Baker,34.0,1.0,275.0,9.2,23.0,0.399,8.1,20.8,0.392,1.0,2.2,0.467,2.2,5.1,0.429,20.7,5.2,4.1,1.9,2.8,8.6,21.5,arkansas,2000
3,4,Joe Johnson,23.0,14.0,732.0,7.7,16.5,0.464,6.1,12.3,0.496,1.5,4.2,0.368,3.3,4.3,0.759,7.2,2.7,2.5,0.7,3.4,2.4,20.1,arkansas,2000
4,5,Jason Gilbert,22.0,3.0,278.0,5.9,15.1,0.39,1.6,3.5,0.458,4.3,11.7,0.37,3.3,3.9,0.852,2.7,3.3,0.7,0.0,7.2,7.9,19.4,arkansas,2000
5,6,Brandon Dean,34.0,14.0,656.0,6.8,15.5,0.441,4.8,8.8,0.545,2.0,6.6,0.303,2.0,3.2,0.623,4.2,3.2,3.4,0.7,3.5,4.1,17.7,arkansas,2000
6,7,Chris Walker,34.0,10.0,985.0,5.2,12.8,0.41,3.5,8.0,0.434,1.8,4.8,0.37,2.6,3.9,0.667,6.3,2.7,2.4,0.4,0.6,0.6,14.9,arkansas,2000
7,8,T.J. Cleveland,26.0,12.0,629.0,4.5,11.1,0.408,1.4,3.6,0.393,3.1,7.5,0.415,2.4,3.4,0.685,4.2,4.8,4.5,0.2,3.2,4.4,14.5,arkansas,2000
8,9,Larry Satchell,27.0,9.0,279.0,3.9,7.6,0.509,3.9,7.6,0.509,0.0,0.0,,2.2,5.2,0.417,8.7,1.6,1.6,2.4,3.6,5.4,9.9,arkansas,2000
9,10,Dionisio Gomez,32.0,1.0,224.0,3.6,12.1,0.294,3.0,9.1,0.333,0.5,3.0,0.176,0.7,1.8,0.4,12.1,2.5,1.1,2.0,4.6,5.0,8.4,arkansas,2000
10,11,Brandon Davis,33.0,17.0,719.0,2.7,7.6,0.35,1.5,3.8,0.397,1.2,3.8,0.304,0.8,1.6,0.517,3.8,1.7,0.8,0.2,2.7,4.6,7.3,arkansas,2000
11,12,Charles Tatum,30.0,23.0,732.0,1.7,5.2,0.323,0.6,1.3,0.458,1.1,3.9,0.278,1.0,1.3,0.792,1.0,0.8,0.7,0.0,3.4,2.4,5.5,arkansas,2000
12,13,Blake Eddins,31.0,27.0,723.0,1.8,4.8,0.384,0.6,1.0,0.611,1.2,3.8,0.324,0.6,0.9,0.588,2.3,0.7,0.6,0.1,2.5,6.0,5.4,arkansas,2000
