,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
1,2,Robert Fairley,30.0,27.0,558.0,7.3,13.1,0.557,7.3,13.1,0.557,0.0,0.0,,4.7,8.5,0.555,10.6,0.4,0.6,2.3,3.9,6.0,19.4,jackson state,1997
2,3,Trent Pulliam,29.0,27.0,899.0,7.1,17.0,0.42,5.5,11.3,0.484,1.6,5.7,0.291,2.3,3.6,0.642,10.2,2.7,2.6,0.7,4.4,3.8,18.2,jackson state,1997
3,4,Joseph McKenny,22.0,0.0,121.0,5.6,20.2,0.279,3.3,9.3,0.357,2.3,10.9,0.212,3.3,5.3,0.625,7.3,0.7,0.7,0.3,3.6,7.9,16.9,jackson state,1997
4,5,Keith Montgomery,27.0,1.0,281.0,6.0,9.5,0.627,6.0,9.5,0.627,0.0,0.0,,4.1,7.1,0.58,7.7,0.4,0.3,1.4,3.3,10.4,16.1,jackson state,1997
5,6,Michael Hall,29.0,18.0,508.0,5.4,12.8,0.417,4.9,11.3,0.431,0.5,1.5,0.316,4.4,6.5,0.675,3.3,4.3,1.7,0.2,5.0,5.4,15.6,jackson state,1997
6,7,Doug Williams,30.0,29.0,819.0,5.6,11.2,0.502,4.8,9.2,0.527,0.8,2.0,0.39,3.1,4.8,0.653,7.4,2.5,2.8,0.7,3.8,3.1,15.1,jackson state,1997
7,8,DeCarto Draper,25.0,11.0,553.0,4.5,11.8,0.38,2.2,5.2,0.417,2.3,6.6,0.352,1.8,2.2,0.806,3.7,4.0,1.7,0.3,2.7,2.9,13.1,jackson state,1997
8,9,Tyrone Moton,28.0,2.0,378.0,3.9,10.1,0.389,3.7,9.3,0.398,0.2,0.7,0.286,4.3,6.2,0.695,6.1,3.0,1.3,0.2,2.8,5.3,12.4,jackson state,1997
9,10,Fidel Woods,29.0,0.0,241.0,4.0,8.6,0.462,4.0,8.6,0.462,0.0,0.0,,2.5,4.3,0.577,9.1,0.8,0.5,1.5,2.5,3.7,10.5,jackson state,1997
10,11,Joe Shanks,2.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,10.0,20.0,0.5,0.0,0.0,0.0,0.0,,0.0,10.0,jackson state,1997
